iter	RMSE
242	616.8944359
243	616.1891421
244	616.188983
245	616.1888557
246	616.1887921
247	616.1886648
248	615.6996021
249	615.6995702
250	615.6995065
251	615.6994747
252	615.6994428
253	615.6993792
254	615.6993792
255	615.4970254
256	614.8178433
257	614.4844483
258	614.459367
259	614.0177554
260	613.492637
261	613.4925411
262	612.2720784
263	612.2719503
264	611.6821551
265	611.682091
266	610.9463569
267	610.9463569
268	610.5204787
269	610.5204466
270	610.5203823
271	610.1505761
272	610.1504797
273	609.8814735
274	609.8814414
275	609.8814414
276	609.2699585
277	608.4495887
278	608.4494598
279	608.2051705
280	608.2051705
281	608.2051383
282	608.2050738
283	608.2049771
284	608.2049448
285	608.2048803
286	607.565602
287	607.565602
288	607.5655375
289	607.5655052
290	607.5583406
291	607.5582761
292	607.1507226
293	607.1506903
294	607.150658
295	606.7289345
296	606.3639624
297	606.1512139
298	606.1448413
299	605.6438156
300	605.6437185
301	605.4021512
302	605.1395237
303	604.3300617
304	603.9775999
305	603.5148682
306	603.5148357
307	602.9964394
308	602.9963418
309	602.5048694
310	602.3497128
311	602.3496477
312	602.0792079
313	601.8583639
314	601.3164643
315	600.924647
316	600.6938472
317	599.8974422
318	599.277997
319	598.799387
320	598.7992888
321	598.2887033
322	597.7466182
323	597.2815541
324	596.9030532
325	596.4613953
326	596.2537294
327	596.2536307
328	595.6758231
329	595.3095092
330	594.6825813
331	594.2118194
332	593.5436287
333	593.195137
334	592.7803879
335	592.4880738
336	592.4878753
337	591.9373642
338	591.6706158
339	591.2591748
340	590.5671252
341	590.2788972
342	589.6733559
343	589.1756288
344	588.9507453
345	588.6342118
346	588.3157082
347	587.9522456
348	587.9494776
349	587.8271721
350	587.3580596
351	587.3557896
352	587.283477
353	586.9358785
354	586.7279825
355	586.7275147
356	586.0378091
357	585.8318704
358	585.8316027
359	585.2009878
360	584.8634498
361	584.5104202
362	584.2038994
363	583.7576384
364	583.5868133
365	583.5844614
366	583.0460245
367	582.7613779
368	582.0117242
369	581.8390385
370	581.5624661
371	580.9434855
372	580.5682814
373	580.2367671
374	579.6652854
375	579.4355604
376	579.2628852
377	579.1064787
378	578.9350602
379	578.3065203
380	578.1199753
381	577.9962684
382	577.988398
383	577.395946
384	577.3220463
385	576.6744417
386	576.5872891
387	576.3181991
388	575.6463375
389	575.3619151
390	575.3504985
391	574.9853536
392	574.6791432
393	574.1126145
394	573.7272017
395	573.4968246
396	573.4565303
397	573.3254901
398	573.0656979
399	572.7459485
400	572.2077643
401	572.0046106
402	572.0010798
403	572.0006856
404	571.7294883
405	571.1819874
406	570.9557175
407	570.9080143
408	570.824275
409	570.3427762
410	570.0754336
411	570.0745909
412	569.8384016
413	569.3609765
414	569.0644197
415	569.0640579
416	569.0636616
417	569.0633171
418	569.0629725
419	568.911396
420	568.9111375
421	568.5715848
422	567.9376174
423	567.937393
424	567.6523895
425	567.6521477
426	567.5117689
427	567.5115616
428	567.511337
429	567.5111297
430	566.7665079
431	566.4324718
432	566.003395
433	565.9432695
434	565.8485559
435	565.8483653
436	565.8481921
437	565.7898349
438	565.4418713
439	564.6195318
440	564.5781003
441	564.2318916
442	564.0348689
443	563.7035795
444	563.3557021
445	563.3554236
446	563.2751565
447	563.2743733
448	563.274147
449	563.2532255
450	563.2529819
451	563.0731677
452	563.0729587
453	563.0727846
454	563.0726279
455	563.0724538
456	563.0723145
457	562.5099563
458	562.1210357
459	561.9305658
460	561.9304611
461	561.930339
462	561.9302518
463	561.922261
464	561.4791041
465	561.4790168
466	561.4781437
467	561.4781088
468	561.074075
469	560.669243
470	560.3553144
471	559.8844594
472	559.8193686
473	559.3707775
474	559.0421781
475	559.0420728
476	559.0332341
477	558.9077934
478	558.9074426
479	558.629696
480	558.6138657
481	558.6016505
482	558.6014048
483	558.6011591
484	558.4717944
485	558.464667
486	558.4644915
487	558.4233758
488	558.3541465
489	558.1626019
490	557.7865042
491	557.5529343
492	557.3482911
493	556.8858439
494	556.8517774
495	556.5956747
496	556.2887175
497	555.952389
498	555.729427
499	555.2200059
500	554.6886779
501	554.6781084
502	554.230645
503	554.1488793
504	554.008919
505	553.4435869
506	553.4100703
507	553.1396306
508	553.1393648
509	552.5550811
510	552.5432465
511	552.54314
512	552.1426002
513	552.0388946
514	552.0291446
515	551.9957729
516	551.555412
517	551.5463467
518	551.1481243
519	550.8041537
520	550.3818639
521	550.1837305
522	550.1759433
523	550.1133217
524	549.8699668
525	549.7824347
526	549.4782552
527	549.3530241
528	549.3345172
529	549.1897418
530	548.7855755
531	548.603557
532	548.4071051
533	548.3715822
534	547.9559164
535	547.6306183
536	547.6287386
537	547.5142401
538	547.3298464
539	547.3296673
540	547.2995559
541	547.2892557
542	547.2890587
543	547.2830934
544	547.2828605
545	546.7206334
546	546.0936499
547	545.7684096
548	545.3040886
549	545.2975083
550	544.6068919
551	544.3670006
552	544.1529485
553	543.9148398
554	543.9056291
555	543.8042828
556	543.8026603
557	543.7186232
558	543.6341763
559	543.3688308
560	543.3604047
561	543.3526642
562	543.2921072
563	543.2899056
564	543.0935174
565	543.0911345
566	543.0889863
567	542.673863
568	542.2882708
569	541.9698277
570	541.9625195
571	541.6784735
572	541.4444009
573	541.4415399
574	541.2265482
575	541.0371848
576	541.0354633
577	541.0315492
578	541.0110723
579	541.0094958
580	540.760086
581	540.2963602
582	540.1226803
583	540.0725078
584	540.0723626
585	539.9316224
586	539.7617485
587	539.3931957
588	538.9689321
589	538.8986226
590	538.791822
591	538.7915854
592	538.5024259
593	538.4372085
594	538.3178229
595	538.1812145
596	537.8515175
597	537.3549964
598	536.9047456
599	536.9040335
600	536.749403
601	536.1616123
602	535.3896693
603	535.1049375
604	535.0914893
605	534.8634423
606	534.4836431
607	534.313138
608	534.3113031
609	534.311138
610	533.726485
611	533.7263013
612	533.2349848
613	533.1889633
614	533.1887978
615	532.9579316
616	532.6798141
617	532.6797589
618	532.6796668
619	532.6733907
620	532.6732987
621	532.2357026
622	532.2354079
623	531.9775168
624	531.9749183
625	531.9436429
626	531.943606
627	531.9433849
628	531.9426108
629	531.8195736
630	531.8192786
631	531.8138035
632	531.8115175
633	531.4207373
634	531.4188002
635	531.3191685
636	530.8891543
637	530.8873445
638	530.8860333
639	530.8585905
640	530.8222257
641	530.8206189
642	530.4547439
643	530.4539676
644	530.292668
645	530.1534184
646	530.1533999
647	529.9236349
648	529.9186767
649	529.9120349
650	529.9079831
651	529.5904448
652	529.5904263
653	529.5887417
654	529.4192342
655	529.3392663
656	529.2181988
657	528.9918454
658	528.7824713
659	528.7762046
660	528.6450308
661	528.6416185
662	528.3881149
663	528.3869274
664	528.386779
665	528.1556143
666	528.1551874
667	528.0807276
668	528.0772374
669	528.0570565
670	528.0516166
671	528.0466594
672	528.0453412
673	527.8284964
674	527.6911418
675	527.5520233
676	527.4626276
677	527.0483291
678	526.9618619
679	526.7124453
680	526.7124453
681	526.4135033
682	526.4132612
683	525.7363277
684	525.6973706
685	525.696233
686	525.6954124
687	525.693417
688	525.6932118
689	525.6924472
690	525.6551281
691	525.4341995
692	524.9904388
693	524.9562073
694	524.6599085
695	524.3917111
696	524.3304601
697	524.329226
698	524.1448311
699	523.9585562
700	523.9431753
701	523.9422959
702	523.9404621
703	523.9404434
704	523.9378424
705	523.9361397
706	523.8610802
707	523.8518351
708	523.5624951
709	523.5622517
710	523.5218407
711	523.5192376
712	523.373147
713	522.7786807
714	522.6807033
715	522.6083526
716	522.5689935
717	522.2626302
718	522.1890575
719	521.9380175
720	521.9202103
721	521.6954825
722	521.5499149
723	521.462066
724	521.4616712
725	521.3742587
726	521.2517927
727	521.2496861
728	521.133098
729	520.9151638
730	520.5939105
731	520.5066913
732	520.0272806
733	520.0257912
734	519.7890598
735	519.7882676
736	519.7100247
737	519.3478565
738	519.318709
739	519.0703228
740	518.7555055
741	518.6584883
742	518.6182812
743	518.3305025
744	518.3290839
745	518.1620989
746	517.8424509
747	517.8423562
748	517.6214644
749	517.3376983
750	517.3376983
751	517.3376794
752	517.3376415
753	517.007168
754	516.6732384
755	516.373307
756	516.373288
757	516.1295247
758	515.9483178
759	515.8175882
760	515.6869585
761	515.6867494
762	515.6415764
763	515.5385153
764	515.536994
765	515.2998366
766	515.2139095
767	515.1238381
768	515.0108318
769	515.0094231
770	514.9813817
771	514.8113304
772	514.6572627
773	514.6562531
774	514.5504034
775	514.5491268
776	514.3931891
777	514.0632638
778	513.7372488
779	513.7120961
780	513.3222051
781	513.228115
782	513.0548264
783	512.6656786
784	512.6652579
785	512.6648754
786	512.6638619
787	512.5271298
788	512.3564553
789	512.1283732
790	512.1280286
791	512.0055913
792	512.0048062
793	512.0034467
794	511.6834384
795	511.5943169
796	511.5535163
797	511.5535163
798	511.5535354
799	511.5268762
800	511.5261287
801	511.5254388
802	511.4844601
803	511.4278359
804	511.3253444
805	511.3069183
806	511.2102518
807	511.209734
808	511.2097148
809	511.184783
810	511.1824815
811	511.1820212
812	511.1815801
813	510.9560819
814	510.9558133
815	510.9508245
816	510.9508245
817	510.9425354
818	510.941979
819	510.9408085
820	510.9405783
821	510.9394845
822	510.8676587
823	510.8666224
824	510.7134187
825	510.7129772
826	510.5105288
827	510.4509732
828	510.3259435
829	510.3259243
830	510.1040263
831	510.1040263
832	510.0039023
833	509.9450182
834	509.8432285
835	509.8430747
836	509.8168837
837	509.7104522
838	509.5762561
839	509.5753711
840	509.5749093
841	509.3651951
842	509.3636745
843	509.3636745
844	509.3631549
845	509.3331665
846	509.3330125
847	509.1632505
848	509.1630772
849	509.1592647
850	508.9101774
851	508.9100233
852	508.8627844
853	508.7051999
854	508.7050843
855	508.6670393
856	508.6670393
857	508.6321719
858	508.6317671
859	508.6313623
860	508.626293
861	508.6262737
862	508.6259074
863	508.4298398
864	508.3220764
865	508.1698419
866	508.1698419
867	508.1698033
868	508.1664078
869	507.9756247
870	507.831221
871	507.8304874
872	507.7448796
873	507.657442
874	507.304391
875	507.0777679
876	506.8640031
877	506.7363471
878	506.7361536
879	506.7354185
880	506.7018886
881	506.5584766
882	506.5584185
883	506.4496568
884	506.2093654
885	505.9513656
886	505.9512493
887	505.8761377
888	505.8642188
889	505.8635405
890	505.5489542
891	505.5487797
892	505.5486633
893	505.5415462
894	505.5414492
895	505.4627078
896	505.3719849
897	505.1864342
898	505.1836591
899	505.104532
900	504.9450756
901	504.9449397
902	504.9449203
903	504.9218538
904	504.9207664
905	504.7465681
906	504.7465681
907	504.5665972
908	504.4377184
909	504.2568595
910	504.2484021
911	504.0559609
912	503.783314
913	503.6513734
914	503.5344099
915	503.5125444
916	503.5121744
917	503.5119408
918	503.5041523
919	503.4854205
920	503.3617574
921	503.2047492
922	503.1259929
923	503.125837
924	502.8961028
925	502.8960443
926	502.8960248
927	502.4583487
928	502.1167351
929	502.1056642
930	502.0668653
931	502.065928
932	502.0653227
933	502.065186
934	502.0631747
935	501.9898444
936	501.9772083
937	501.4517552
938	501.2132144
939	501.2130579
940	501.2130383
941	501.2129405
942	501.2125298
943	500.9539136
944	500.7606959
945	500.2433133
946	500.1588767
947	500.1540743
948	499.747034
949	499.7349494
950	499.6759146
951	499.4516994
952	499.4465957
953	499.1812512
954	499.0560108
955	498.9312106
956	498.9268287
957	498.6554471
958	498.6459509
959	498.6452431
960	498.5194157
961	498.5191797
962	498.5190617
963	498.4617908
964	498.2026519
965	498.2024945
966	498.1971812
967	498.0757286
968	498.0751971
969	497.8155813
970	497.5366771
971	497.5365392
972	497.5364013
973	497.5359678
974	497.3544521
975	497.2436969
976	497.2419619
977	496.9998225
978	496.9802734
979	496.9797211
980	496.9797211
981	496.9797013
982	496.9797013
983	496.9795238
984	496.6789708
985	496.5318148
986	496.2667294
987	496.2283235
988	496.2271578
989	496.2271381
990	496.226901
991	496.0710536
992	495.9173911
993	495.6400892
994	495.492783
995	495.2076609
996	495.0444226
997	495.044383
998	494.9526418
999	494.7045662
