iter	Passed	Remaining
417	2689	3745
418	2705	3751
419	2709	3742
420	2716	3736
421	2721	3728
422	2730	3724
423	2742	3726
424	2747	3717
425	2753	3710
426	2758	3701
427	2764	3694
428	2768	3685
429	2774	3677
430	2780	3671
431	2785	3661
432	2790	3654
433	2795	3645
434	2799	3636
435	2805	3629
436	2811	3622
437	2816	3613
438	2820	3604
439	2826	3597
440	2831	3588
441	2838	3583
442	2844	3576
443	2848	3567
444	2854	3560
445	2859	3551
446	2864	3544
447	2871	3537
448	2876	3530
449	2882	3523
450	2888	3516
451	2894	3509
452	2901	3503
453	2905	3494
454	2912	3488
455	2924	3488
456	2932	3483
457	2936	3475
458	2942	3468
459	2946	3459
460	2952	3452
461	2958	3444
462	2962	3435
463	2966	3426
464	2970	3417
465	2976	3410
466	2982	3404
467	2988	3397
468	2994	3390
469	2999	3382
470	3004	3374
471	3011	3368
472	3016	3360
473	3020	3352
474	3025	3343
475	3031	3337
476	3036	3328
477	3042	3322
478	3048	3315
479	3054	3309
480	3059	3301
481	3067	3296
482	3078	3295
483	3087	3291
484	3091	3283
485	3096	3274
486	3102	3268
487	3108	3260
488	3113	3253
489	3121	3249
490	3128	3243
491	3137	3239
492	3143	3233
493	3149	3225
494	3155	3219
495	3161	3212
496	3167	3206
497	3175	3200
498	3182	3195
499	3189	3189
500	3193	3181
501	3199	3173
502	3205	3167
503	3209	3158
504	3217	3153
505	3223	3146
506	3229	3139
507	3236	3134
508	3243	3128
509	3248	3121
510	3254	3114
511	3261	3108
512	3267	3101
513	3273	3095
514	3281	3090
515	3285	3082
516	3290	3074
517	3297	3068
518	3303	3061
519	3308	3054
520	3315	3048
521	3321	3041
522	3326	3034
523	3332	3027
524	3340	3022
525	3351	3019
526	3357	3013
527	3363	3007
528	3370	3000
529	3376	2994
530	3382	2987
531	3388	2981
532	3393	2973
533	3399	2967
534	3405	2959
535	3410	2952
536	3415	2945
537	3421	2937
538	3427	2931
539	3432	2923
540	3438	2917
541	3444	2910
542	3450	2904
543	3455	2896
544	3461	2889
545	3466	2882
546	3473	2876
547	3478	2869
548	3483	2861
549	3489	2855
550	3495	2848
551	3501	2841
552	3508	2836
553	3515	2830
554	3521	2823
555	3526	2816
556	3534	2811
557	3541	2805
558	3547	2798
559	3555	2793
560	3561	2786
561	3568	2780
562	3575	2775
563	3584	2771
564	3592	2765
565	3597	2758
566	3603	2751
567	3607	2743
568	3614	2737
569	3620	2731
570	3628	2725
571	3633	2719
572	3639	2711
573	3645	2705
574	3649	2697
575	3656	2691
576	3663	2685
577	3669	2679
578	3675	2672
579	3682	2666
580	3688	2660
581	3694	2653
582	3698	2645
583	3703	2638
584	3708	2631
585	3713	2623
586	3721	2618
587	3725	2610
588	3730	2603
589	3735	2595
590	3741	2589
591	3747	2582
592	3754	2576
593	3760	2570
594	3766	2563
595	3770	2555
596	3776	2549
597	3782	2542
598	3788	2535
599	3793	2529
600	3799	2522
601	3806	2516
602	3810	2508
603	3815	2501
604	3821	2495
605	3828	2489
606	3833	2481
607	3837	2474
608	3844	2468
609	3850	2461
610	3856	2455
611	3860	2447
612	3864	2439
613	3869	2432
614	3875	2426
615	3882	2420
616	3886	2412
617	3893	2406
618	3899	2400
619	3904	2393
620	3911	2386
621	3917	2380
622	3924	2374
623	3929	2368
624	3934	2360
625	3944	2356
626	3951	2350
627	3957	2344
628	3961	2336
629	3966	2329
630	3971	2322
631	3977	2315
632	3982	2308
633	3988	2302
634	3993	2295
635	3999	2289
636	4003	2281
637	4012	2276
638	4019	2271
639	4024	2263
640	4028	2256
641	4033	2249
642	4037	2241
643	4043	2235
644	4048	2228
645	4054	2221
646	4060	2215
647	4066	2208
648	4072	2202
649	4077	2195
650	4083	2189
651	4090	2183
652	4097	2177
653	4104	2171
654	4110	2164
655	4119	2160
656	4126	2154
657	4130	2146
658	4135	2139
659	4140	2133
660	4145	2126
661	4150	2119
662	4158	2113
663	4162	2106
664	4169	2100
665	4175	2094
666	4181	2087
667	4187	2081
668	4192	2074
669	4198	2067
670	4204	2061
671	4209	2054
672	4217	2049
673	4223	2042
674	4229	2036
675	4236	2030
676	4240	2023
677	4245	2016
678	4251	2009
679	4256	2003
680	4262	1996
681	4268	1990
682	4273	1983
683	4279	1976
684	4284	1970
685	4290	1963
686	4295	1957
687	4299	1949
688	4309	1945
689	4315	1938
690	4320	1931
691	4326	1925
692	4332	1919
693	4337	1912
694	4344	1906
695	4349	1899
696	4354	1892
697	4360	1886
698	4367	1880
699	4374	1874
700	4379	1868
701	4385	1861
702	4392	1855
703	4399	1849
704	4406	1843
705	4411	1836
706	4415	1830
707	4420	1823
708	4427	1817
709	4431	1810
710	4436	1803
711	4442	1797
712	4448	1790
713	4455	1784
714	4461	1778
715	4468	1772
716	4473	1765
717	4478	1758
718	4484	1752
719	4488	1745
720	4495	1739
721	4501	1733
722	4505	1726
723	4510	1719
724	4515	1712
725	4522	1706
726	4528	1700
727	4534	1694
728	4539	1687
729	4547	1681
730	4552	1675
731	4557	1668
732	4563	1662
733	4569	1656
734	4578	1650
735	4584	1644
736	4593	1639
737	4597	1632
738	4601	1625
739	4606	1618
740	4612	1612
741	4618	1605
742	4622	1599
743	4627	1592
744	4633	1585
745	4637	1579
746	4643	1572
747	4647	1565
748	4654	1559
749	4660	1553
750	4665	1546
751	4670	1540
752	4676	1534
753	4682	1527
754	4687	1521
755	4691	1514
756	4696	1507
757	4701	1500
758	4706	1494
759	4711	1487
760	4716	1481
761	4721	1474
762	4727	1468
763	4732	1461
764	4736	1455
765	4741	1448
766	4746	1441
767	4752	1435
768	4757	1429
769	4761	1422
770	4769	1416
771	4778	1411
772	4784	1405
773	4789	1398
